Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
0,2,3537333291,0.059713075,2.040863037,2,4
0,2,95932835910,0.091309965,0,2,4
0,2,41353522590,0.040146426,0.997304916,2,4
0,1,52127880943,0.01701955,0,2,13
0,2,95932835910,0.000200197,0.997543335,2,4
0,2,41353522590,0.008543803,0,2,4
0,1,52754653044,0.028426607,0,2,12
0,2,41353522590,0.005393074,0.995874405,2,3
0,2,95932835910,0.003506658,0,2,2
0,2,52835052891,0.01000237,0.998973846,2,2
0,1,16369991725,0.022739267,0,2,11
0,2,52835052891,0.08975654,0,2,2
0,5,53109275511,0.014433236,0.998258591,6,12
0,1,66763364489,9.43E-05,0,6,11
0,5,43942153789,0.116191014,0.996828079,6,11
0,5,3418260696,0.027408791,0,6,11
0,5,35051764278,0.041254526,0.997066498,6,10
0,5,54427910857,0.054539589,0,6,9
0,2,14168101626,0.029346398,0.997304916,6,13
0,4,95832911220,0.013154181,6.511211395,6,10
0,5,66347517912,0.052978498,1.046657562,6,8
0,6,98552864500,0.000351452,0,6,15
0,2,16358516567,0.001697523,0.996351242,6,12
0,1,48240975694,0.025058267,0,6,11
0,1,5212957258,0.15047448,0.997543335,6,11
0,3,354210607,0.015280855,0,6,11
0,5,24697974261,0.0090772,0,6,7
0,3,4046669967,0.023083232,12.0370388,6,11
0,2,14168101626,0.04132967,1.003026962,6,11
0,1,26849139966,0.003455385,0,6,11
0,3,44239819522,0.127443514,0.994920731,6,11
0,3,72681333456,1.89E-05,0,6,10
0,4,2378664057,0.088447754,0,6,18
0,4,59028082583,0.033992771,0,6,18
0,3,17294985071,0.060064435,18.82243156,6,13
0,5,44808781838,0.098837776,0,6,16
0,1,34088641292,0.004477324,0,6,21
0,4,59028082583,0.0422195,2.185106277,6,18
0,5,35904792295,0.007892726,0,6,15
0,5,65463800903,0.062310156,0,6,15
0,4,76780705077,0.006329446,8.426427841,6,17
0,2,35054799489,0.001434456,0,6,14
0,4,59028082583,0.018177231,0,6,17
0,3,18511746122,0.013736882,0,6,12
0,3,99274151140,0.078541588,0,6,12
0,5,89170749542,0.041571517,0,6,14
0,3,18664512285,0.001682021,0,6,12
0,1,73154632895,0.102761411,10.40530205,6,21
0,5,78209087984,0.009566272,0,6,13
0,2,41189841055,0.02022858,0.997543335,3,15
0,1,79188080188,0.042890422,0,3,14
0,2,22822590474,0.037297464,0.998020172,3,15
0,3,88739101037,0.000586996,0,3,14
0,2,63254994294,0.028338918,0,3,15
0,1,18331613786,0.003497257,0,3,13
0,1,71496784306,0.035228461,0,3,12
0,3,17305654743,0.002666752,0,3,14
0,2,41189841055,0.006094587,0,3,14
0,3,58662880804,0.028236486,0,3,14
0,1,81716854785,0.014362144,2.137184143,3,12
0,1,40206962754,0.041269762,0,3,11
0,3,77779530961,0.009486247,0,3,13
0,3,71660290017,0.028335862,0,3,13
0,3,30784877242,0.013719435,19.02890205,3,13
0,1,22620302486,0.077120391,0,3,11
0,3,30784877242,0.000701768,0,3,13
0,1,17049011452,0.000264227,2.061128616,3,10
0,2,24486924694,0.043239013,0,3,14
0,3,71660290017,0.006894249,0,3,13
0,1,97075900456,0.020689618,0.971078873,5,11
0,5,63810043910,0.038540231,0,5,18
0,2,17085024144,0.006447341,0.996112823,5,5
